SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
CAS-2T & KS-1Q          ,41847U,16066G,20302.44669940,.00000149,00000-0,32915-4,0,9990,41847,98.6382,354.1965,0.0365439,192.3810,166.8214,14.38103006
WORLDVIEW-4             ,41848U,16067A,20302.76091913,.00001430,00000-0,37688-4,0,9992,41848,97.8605,60.6588,0.0005030,359.5476,0.5763,15.40420118
RAVAN                   ,41849U,16067B,20302.28075308,.00000821,00000-0,73423-4,0,9990,41849,97.9464,54.4837,0.0009088,147.8182,212.3597,14.98690692
CELTEE 1                ,41850U,16067C,20302.26628677,.00000912,00000-0,83984-4,0,9997,41850,97.9381,51.7920,0.0009415,155.9268,204.2395,14.97255591
OPTICUBE 04             ,41851U,16067D,20302.75513598,-.00000294,00000-0,-20221-4,0,9997,41851,97.9365,51.8331,0.0009124,159.2377,200.9216,14.96972178
AEROCUBE 8D             ,41852U,16067E,20302.77135423,.00000442,00000-0,43724-4,0,9993,41852,97.9362,51.6940,0.0010125,161.0432,199.1168,14.96983896
AEROCUBE 8C             ,41853U,16067F,20302.80606062,.00000486,00000-0,47544-4,0,9992,41853,97.9371,51.6207,0.0010374,159.6144,200.5493,14.96957523
PROMETHEUS 2-1          ,41854U,16067G,20302.27770491,.00000375,00000-0,37569-4,0,9995,41854,97.9380,51.5015,0.0010552,160.5850,199.5775,14.97318564
PROMETHEUS 2-3          ,41855U,16067H,20302.74509833,.00000467,00000-0,45518-4,0,9993,41855,97.9386,52.0156,0.0010739,159.6456,200.5195,14.97329622
YUNHAI 1                ,41857U,16068A,20302.74983200,.00000123,00000-0,61219-4,0,9995,41857,98.5665,300.1024,0.0015146,311.4963,48.4921,14.32672316
GSAT0207 (GALILEO 15)   ,41859U,16069A,20301.42395057,.00000048,00000-0,00000+0,0,9991,41859,54.6703,158.1776,0.0002594,321.8142,38.2681,1.70473197 
GSAT0212 (GALILEO 16)   ,41860U,16069B,20300.69081197,.00000042,00000-0,00000+0,0,9992,41860,54.6667,158.1968,0.0002661,3.0765,357.0224,1.70473140 
GSAT0213 (GALILEO 17)   ,41861U,16069C,20302.22972859,.00000054,00000-0,00000+0,0,9991,41861,54.6704,158.1582,0.0001424,282.0210,78.0674,1.70473352 
GSAT0214 (GALILEO 18)   ,41862U,16069D,20298.27067179,.00000023,00000-0,00000-0,0,9998,41862,54.6679,158.2635,0.0000929,311.6098,48.4698,1.70473107 
GOES 16                 ,41866U,16071A,20302.40980715,-.00000252,00000-0,00000+0,0,9990,41866,0.0220,251.9644,0.0001204,8.6762,208.9308,1.00269867 
TIANLIAN 1-04           ,41869U,16072A,20302.44016528,-.00000112,00000-0,00000-0,0,9996,41869,0.0978,87.6940,0.0014605,18.5885,166.5379,1.00271759 
