SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
SAUDISAT 2              ,28371U,04025F,20303.79910202,.00000188,00000-0,54803-4,0,9991,28371,98.2955,251.4284,0.0026436,137.0193,223.3089,14.54397048
APRIZESAT 1             ,28372U,04025G,20303.40581975,.00000021,00000-0,17425-4,0,9996,28372,98.4078,251.8001,0.0045277,291.8652,67.7730,14.49642803
AURA                    ,28376U,04026A,20303.58178141,.00000113,00000-0,35119-4,0,9999,28376,98.2029,244.3891,0.0001144,80.4585,279.6742,14.57118935
ANIK F2                 ,28378U,04027A,20303.56616510,-.00000049,00000-0,00000-0,0,9993,28378,0.0211,279.2766,0.0000106,286.2838,285.5565,1.00271592 
COSMOS 2407             ,28380U,04028A,20303.57306769,.00000012,00000-0,-29915-5,0,9991,28380,82.9602,157.5542,0.0037869,243.3476,116.3805,13.76082214
SJ-6A                   ,28413U,04035A,20303.84114431,-.00000360,00000-0,-28129-4,0,9991,28413,97.7538,322.2719,0.0011065,234.0025,126.0136,14.94283091
SJ-6B                   ,28414U,04035B,20303.78166203,-.00000495,00000-0,-40844-4,0,9996,28414,97.7575,321.8437,0.0005112,226.9299,133.1483,14.94272117
COSMOS 2408             ,28419U,04037A,20303.44435877,.00000010,00000-0,-31783-6,0,9998,28419,82.4870,174.2195,0.0016656,95.0989,265.1992,12.45622213
COSMOS 2409             ,28420U,04037B,20303.79024738,.00000002,00000-0,-54442-4,0,9994,28420,82.4861,176.3566,0.0014259,102.3873,257.8788,12.45277257
AMC-15                  ,28446U,04041A,20303.36646368,-.00000088,00000-0,00000-0,0,9990,28446,0.0245,86.4849,0.0003264,153.2364,185.2927,1.00268889 
JB-3 3 (ZY 2C)          ,28470U,04044A,20303.73305619,.00000262,00000-0,23262-4,0,9994,28470,97.3172,181.9482,0.0047953,113.9094,246.7166,15.02942180
AMC-16                  ,28472U,04048A,20303.51432958,-.00000205,00000-0,00000-0,0,9992,28472,0.0132,117.3698,0.0002788,97.8071,283.2986,1.00267558 
NAVSTAR 56 (USA 180)    ,28474U,04045A,20303.39148955,-.00000090,00000-0,00000-0,0,9990,28474,55.0576,47.4567,0.0202400,268.8937,105.1709,2.005789451
SWIFT                   ,28485U,04047A,20303.31252796,.00001081,00000-0,43406-4,0,9996,28485,20.5556,167.7384,0.0010966,310.5635,49.3845,15.04716574
NANOSAT-1               ,28493U,04049B,20303.79164837,.00000105,00000-0,24033-4,0,9998,28493,98.1173,33.5933,0.0005351,48.4239,311.7426,14.73607587
COSMOS 2414             ,28521U,05002A,20303.72596194,.00000023,00000-0,56192-5,0,9999,28521,82.9500,158.6048,0.0041714,71.9638,288.6053,13.87624717
NSS-10 (AMC-12)         ,28526U,05003A,20303.70945696,-.00000248,00000-0,00000+0,0,9999,28526,1.3350,93.1976,0.0003095,121.1906,42.0857,1.00272558 
XTAR-EUR                ,28542U,05005A,20302.81498161,.00000149,00000-0,00000-0,0,9990,28542,0.0177,266.7709,0.0002719,304.8676,148.3726,1.00273048 
XM-3 (RHYTHM)           ,28626U,05008A,20303.51432958,-.00000204,00000-0,00000-0,0,9999,28626,0.0226,253.3203,0.0000182,50.3102,194.7397,1.00268532 
INMARSAT 4-F1           ,28628U,05009A,20303.58660514,-.00000259,00000-0,00000-0,0,9990,28628,3.2427,28.4930,0.0003109,192.5330,172.0406,1.00270859 
APSTAR 6                ,28638U,05012A,20303.59215934,-.00000082,00000-0,00000-0,0,9992,28638,1.9570,90.7427,0.0004318,134.0894,189.5893,1.00273386 
IRS-P5 (CARTOSAT-1)     ,28649U,05017A,20303.44181777,.00000135,00000-0,22649-4,0,9995,28649,97.7995,9.3821,0.0002025,49.9609,310.1783,14.83719999
NOAA 18                 ,28654U,05018A,20303.74761152,.00000109,00000-0,83762-4,0,9990,28654,99.0284,1.3289,0.0013892,209.3116,150.7278,14.12550715
DIRECTV 8               ,28659U,05019A,20303.55534334,.00000002,00000-0,00000-0,0,9997,28659,0.0145,259.2076,0.0002516,323.8412,256.1836,1.00272870 
GALAXY 28 (G-28)        ,28702U,05022A,20303.55558897,-.00000189,00000-0,00000+0,0,9996,28702,0.0159,221.7933,0.0006374,53.9975,233.5840,1.00305659 
EXPRESS-AM3             ,28707U,05023A,20303.88486348,-.00000318,00000-0,00000+0,0,9993,28707,2.1488,89.5451,0.0001989,50.3997,320.2960,1.00269811 
SJ-7                    ,28737U,05024A,20303.75334428,.00000752,00000-0,71300-4,0,9991,28737,97.6909,300.2006,0.0034324,154.6182,205.6734,14.96108101
THAICOM 4               ,28786U,05028A,20303.52540531,-.00000362,00000-0,00000-0,0,9991,28786,0.0200,257.7027,0.0002735,315.8019,133.4997,1.00272505 
GALAXY 14 (G-14)        ,28790U,05030A,20303.61491303,.00000037,00000-0,00000+0,0,9998,28790,0.0117,314.5229,0.0002645,260.0920,280.1791,1.00272292 
REIMEI (INDEX)          ,28810U,05031B,20303.71735988,.00000360,00000-0,42786-4,0,9994,28810,98.1387,340.0055,0.0029214,112.0880,248.3443,14.90583575
ANIK F1R                ,28868U,05036A,20303.56953913,-.00000073,00000-0,00000-0,0,9996,28868,0.0190,91.9153,0.0000642,139.9506,264.1941,1.00269913 
NAVSTAR 57 (USA 183)    ,28874U,05038A,20302.98100400,-.00000084,00000-0,00000-0,0,9997,28874,56.3459,354.9140,0.0138303,266.9000,273.4245,2.005521781
GALAXY 15 (G-15)        ,28884U,05041A,20303.54411385,.00000080,00000-0,00000-0,0,9997,28884,0.0312,114.0360,0.0001574,96.2427,250.9521,1.00270966 
SYRACUSE 3A             ,28885U,05041B,20303.51092414,.00000128,00000-0,00000-0,0,9996,28885,0.0194,283.5473,0.0002772,293.4507,52.2890,1.00277474 
BEIJING 1               ,28890U,05043A,20303.78111377,.00000016,00000-0,12657-4,0,9994,28890,98.0481,68.7733,0.0014243,238.2925,121.6886,14.61304031
SINAH 1                 ,28893U,05043D,20303.79690424,.00000008,00000-0,10908-4,0,9991,28893,98.0418,70.3116,0.0014140,238.5816,121.4003,14.61542691
CUBESAT XI-V            ,28895U,05043F,20303.32450966,.00000191,00000-0,45528-4,0,9996,28895,98.0292,76.0818,0.0016101,215.1110,144.9032,14.63815029
INMARSAT 4-F2           ,28899U,05044A,20303.75674306,.00000013,00000-0,00000+0,0,9998,28899,3.1009,31.2124,0.0003006,192.3003,151.3601,1.00271760 
TELKOM 2                ,28902U,05046A,20303.74818973,-.00000136,00000-0,00000+0,0,9991,28902,0.0061,242.0965,0.0001358,204.6050,18.2260,1.00272028 
SPACEWAY 2              ,28903U,05046B,20303.68914726,.00000105,00000-0,00000+0,0,9993,28903,0.4949,92.1491,0.0000758,174.1042,241.4429,1.00272140 
COSMOS 2416             ,28908U,05048A,20303.44575197,.00000040,00000-0,18226-3,0,9990,28908,82.4707,182.7740,0.0008317,78.8640,94.0212,12.55504099
METEOSAT-9 (MSG-2)      ,28912U,05049B,20303.14337428,.00000021,00000-0,00000+0,0,9992,28912,4.7077,69.5508,0.0000492,248.4521,135.1865,1.00265594 
EUTELSAT 174A           ,28924U,05052A,20303.55604993,.00000010,00000-0,00000-0,0,9997,28924,0.0700,359.2451,0.0006517,217.8265,195.4731,1.00271126 
ECHOSTAR 10             ,28935U,06003A,20303.56728841,-.00000056,00000-0,00000-0,0,9997,28935,0.0642,80.0274,0.0001411,149.4709,262.9209,1.00281651 
SPAINSAT                ,28945U,06007A,20302.97828028,-.00000217,00000-0,00000-0,0,9993,28945,0.0248,237.7089,0.0006095,344.7730,137.4989,1.00271403 
EUTELSAT HOT BIRD 13E   ,28946U,06007B,20303.71948909,.00000089,00000-0,00000+0,0,9993,28946,0.0416,233.0691,0.0007147,339.1562,98.3127,1.00272888 
JCSAT-5A                ,29045U,06010A,20303.53521557,-.00000327,00000-0,00000-0,0,9991,29045,0.0460,92.8581,0.0001962,120.7267,149.4959,1.00272639 
FORMOSAT-3 FM6          ,29047U,06011A,20303.41504562,.00000120,00000-0,63367-4,0,9997,29047,71.9789,196.5637,0.0050766,193.0146,166.9685,14.28758259
FORMOSAT-3 FM1          ,29048U,06011B,20303.57694669,.00000069,00000-0,43470-4,0,9998,29048,71.9646,106.9855,0.0042761,150.7255,209.6291,14.28725488
FORMOSAT-3 FM5          ,29049U,06011C,20303.36047488,.00000008,00000-0,19284-4,0,9996,29049,72.0193,279.8347,0.0034878,178.4021,181.7233,14.28803843
FORMOSAT-3 FM3          ,29050U,06011D,20303.60103695,.00000181,00000-0,48184-4,0,9991,29050,72.0173,51.7273,0.0047812,80.3959,280.2590,14.58964058
FORMOSAT-3 FM4          ,29051U,06011E,20303.35759069,.00000122,00000-0,62980-4,0,9991,29051,72.0052,181.6438,0.0066832,52.3603,308.3572,14.28839853
FORMOSAT-3 FM2          ,29052U,06011F,20303.62745342,.00000079,00000-0,46912-4,0,9999,29052,72.0340,255.6928,0.0038634,135.5559,224.8689,14.28944523
ASTRA 1KR               ,29055U,06012A,20303.72071039,.00000122,00000-0,00000+0,0,9991,29055,0.0240,259.3347,0.0005289,324.9056,92.9333,1.00273440 
EROS B                  ,29079U,06014A,20303.68926593,.00002503,00000-0,11198-3,0,9997,29079,97.3843,61.6506,0.0007144,201.7434,265.4347,15.22197920
CLOUDSAT                ,29107U,06016A,20303.81806162,.00000114,00000-0,31990-4,0,9994,29107,98.2463,250.7146,0.0001199,50.4090,309.7217,14.62265923
CALIPSO                 ,29108U,06016B,20303.54043493,.00000169,00000-0,42759-4,0,9990,29108,98.2445,250.2017,0.0001356,82.4263,277.7093,14.62453975
EWS-G1 (GOES 13)        ,29155U,06018A,20303.63730138,.00000036,00000-0,00000+0,0,9994,29155,0.1734,116.6514,0.0008972,99.6402,113.2108,1.00275881 
EUTELSAT 113 WEST A     ,29162U,06020A,20303.62894623,-.00000036,00000-0,00000-0,0,9996,29162,0.0100,330.7926,0.0002973,254.0329,287.0447,1.00272859 
RESURS-DK 1             ,29228U,06021A,20303.15781848,.00000155,00000-0,19034-4,0,9994,29228,69.9359,207.6151,0.0007807,262.0535,97.9740,15.02583267
GALAXY 16 (G-16)        ,29236U,06023A,20303.48178733,-.00000126,00000-0,00000-0,0,9992,29236,0.0200,271.8183,0.0002743,299.3152,261.5998,1.00272128 
GENESIS 1               ,29252U,06029A,20303.52400212,.00000894,00000-0,53273-4,0,9996,29252,64.5208,223.0303,0.0015715,11.3852,348.7623,15.18263988
ARIRANG-2 (KOMPSAT-2)   ,29268U,06031A,20303.78072121,.00000074,00000-0,23546-4,0,9998,29268,97.9676,185.4601,0.0018415,88.9922,271.3390,14.62305650
EUTELSAT HOT BIRD 13B   ,29270U,06032A,20303.71948909,.00000088,00000-0,00000+0,0,9991,29270,0.0744,332.7133,0.0003172,271.5167,66.3002,1.00273406 
JCSAT-3A                ,29272U,06033A,20303.74243215,-.00000343,00000-0,00000+0,0,9990,29272,0.0234,143.9278,0.0002185,71.9654,217.9378,1.00276736 
SYRACUSE 3B             ,29273U,06033B,20303.71582517,-.00000042,00000-0,00000+0,0,9995,29273,0.0138,206.1199,0.0004711,3.3183,81.5762,1.00271484 
KOREASAT 5 (MUGUNGWHA 5),29349U,06034A,20303.58105075,-.00000357,00000-0,00000-0,0,9995,29349,0.0159,256.5578,0.0001659,336.0175,128.0396,1.00269628 
HINODE (SOLAR-B)        ,29479U,06041A,20303.76234312,.00000083,00000-0,24518-4,0,9993,29479,98.1579,314.4975,0.0016062,308.8125,51.1643,14.65094310
NAVSTAR 58 (USA 190)    ,29486U,06042A,20301.83084412,-.00000051,00000-0,00000-0,0,9994,29486,54.8253,233.0893,0.0097719,9.2331,348.6106,2.005624751
DIRECTV 9S              ,29494U,06043A,20303.48135115,-.00000113,00000-0,00000-0,0,9993,29494,0.0213,240.0584,0.0003228,335.2810,255.0338,1.00272694 
OPTUS D1                ,29495U,06043B,20303.74880038,-.00000109,00000-0,00000+0,0,9998,29495,0.0111,113.0148,0.0003696,105.9734,249.1023,1.00269740 
METOP-A                 ,29499U,06044A,20303.75386685,.00000017,00000-0,26971-4,0,9990,29499,98.5068,345.8347,0.0000743,122.1059,23.7573,14.21493138
SJ-6C                   ,29505U,06046A,20303.73053676,.00000596,00000-0,59901-4,0,9990,29505,97.8140,316.9728,0.0003438,322.0195,38.0793,14.94942813
SJ-6D                   ,29506U,06046B,20303.73347590,.00000591,00000-0,61504-4,0,9999,29506,97.8341,317.1400,0.0003228,62.7091,297.4442,14.93541881
XM-4 (BLUES)            ,29520U,06049A,20303.62662175,-.00000022,00000-0,00000-0,0,9995,29520,0.0106,234.9762,0.0000187,155.1415,118.6374,1.00271951 
DMSP 5D-3 F17 (USA 191) ,29522U,06050A,20303.78809540,.00000036,00000-0,41674-4,0,9995,29522,98.7973,318.1415,0.0010368,150.6850,209.4906,14.14022102
BADR-4                  ,29526U,06051A,20303.50673684,.00000145,00000-0,00000-0,0,9993,29526,0.0623,323.2379,0.0004905,292.0217,351.4876,1.00269223 
NAVSTAR 59 (USA 192)    ,29601U,06052A,20302.28129692,-.00000037,00000-0,00000-0,0,9998,29601,55.9427,295.6385,0.0077267,66.0914,294.7249,2.005712941
WILDBLUE-1              ,29643U,06054A,20303.62293514,-.00000048,00000-0,00000+0,0,9991,29643,0.0184,159.5589,0.0001843,64.7163,287.2326,1.00272562 
AMC-18                  ,29644U,06054B,20303.69010685,.00000037,00000-0,00000+0,0,9992,29644,0.0301,287.1193,0.0002611,210.5828,14.9262,1.00676086 
MEASAT-3                ,29648U,06056A,20303.51982222,-.00000241,00000-0,00000-0,0,9993,29648,0.0502,116.9513,0.0003074,69.2403,130.7666,1.00271153 
